id,date,client,produit,canal,region,commercial,statut,montant,duree_jours,satisfaction
CMD-0236,2026-01-10,Agence Immo Delta,Script Python,Site web,Hauts-de-France,Nabil,Annulé,0,1,
CMD-0237,2026-01-28,Clinique Belleville,Site vitrine,Bouche à oreille,Grand Est,Emma,Payé,655,3,5
CMD-0238,2026-01-29,Clinique Belleville,Outil candidatures,Codeur.com,Grand Est,Nabil,Payé,879,12,3
CMD-0239,2026-05-26,Coach Performance,Site vitrine,Codeur.com,Nouvelle-Aquitaine,Emma,En attente,695,7,
CMD-0240,2026-01-25,Boulangerie Moreau,Export PDF,Codeur.com,Grand Est,Nabil,Payé,317,4,3
CMD-0241,2026-03-10,Clinique Belleville,Formulaire web,Bouche à oreille,Nouvelle-Aquitaine,Yanis,Payé,642,5,5
CMD-0242,2026-01-31,Librairie du Centre,Landing page,Bouche à oreille,Hauts-de-France,Emma,Payé,654,11,5
CMD-0243,2026-03-17,Restaurant Le Safran,Correction bug,Malt,Hauts-de-France,Sofia,Payé,119,3,4
CMD-0244,2026-04-06,Auto-école République,Automatisation CSV,Malt,Grand Est,Sofia,En attente,412,4,
CMD-0245,2026-01-21,Pharmacie Rivoli,Maintenance site,Site web,Nouvelle-Aquitaine,Nabil,Payé,243,2,5
CMD-0246,2026-05-10,Coach Performance,Automatisation Excel,Malt,Nouvelle-Aquitaine,Sofia,En attente,231,3,
CMD-0247,2026-02-22,Association Sport Plus,Landing page,Site web,Île-de-France,Emma,Payé,566,1,4
CMD-0248,2026-05-25,Garage Lenoir,Automatisation CSV,Malt,Grand Est,Nabil,Payé,442,12,3
CMD-0249,2026-02-25,Association Sport Plus,Script Python,LinkedIn,Île-de-France,Emma,En attente,250,6,
CMD-0250,2026-01-16,Studio Nova,Correction bug,Site web,Île-de-France,Nabil,Payé,56,7,3
